id,name,producer_country_id
1,Bierzo,3
2,Canelones,4
3,Casablanca Valley,2
4,Catalunya,3
5,Central Valley,2
6,Colchagua Valley,2
7,Colonia,4
8,La Consulta,1
9,Limarí Valley,2
10,Lleida,3
11,Luján de Cuyo,1
12,Luján de Cuyo & Tupungato,1
13,Luján de Cuyo & Valle de Uco,1
14,Maipo Valley,2
15,Maipú,1
16,Maipú & Valle de Uco,1
17,Maldonado ,4
18,Malleco Valley,2
19,Mallorca,3
20,Maule Valley,2
21,Medrano,1
22,Mendoza,1
23,Montevideo,4
24,Montevideo & Canelones,4
25,Montsant,3
26,Navarra,3
27,Penedès,3
28,Priorat,3
29,Punta del Este ,4
30,Rapel Valley,2
32,Rias Baixas,3
33,Ribera Del Arlanza,3
34,Ribera Del Duero,3
35,Rioja,3
36,Rioja Alavesa,3
37,Rioja Alta,3
38,Rioja Baja,3
39,Rivera,4
40,Rivera & Canelones,4
41,Rueda,3
42,Salta,1
43,San Antonio Valley,2
44,San José,4
45,Santa Rosa,1
46,Tarragona,3
47,Terra Alta,3
48,Valle de Famatina,1
49,Valle de Uco,1
50,Vista Flores,1
51,Yecla,3
