Id,Status,Alternate Name,Order,In Use,Confirmed,InTransit,Delivered,Picking,ValidOrder
0,Incomplete,,,,,,,,0
11,Awaiting Fulfillment,,1,1,0,0,0,1,1
9,Awaiting Shipment,,2,1,0,0,0,1,1
3,Partially Shipped,,3,1,0,1,0,0,1
8,Awaiting Pickup,,4,1,0,0,0,0,1
2,Shipped,,5,1,1,1,0,0,1
12,Manual Verification Required,,6,1,1,0,1,0,1
10,Completed,,7,1,1,0,1,0,1
7,Awaiting Payment,,8,1,0,0,0,0,1
1,Pending,,9,1,0,0,0,0,0
5,Cancelled,,10,1,0,0,0,0,0
13,Disputed,,11,1,0,0,0,0,1
4,Refunded,,12,1,0,0,0,0,0
6,Declined,,13,1,0,0,0,0,0
