id,name,producer_country_id
1,Bierzo,3
2,Canelones,4
3,Casablanca Valley,2
4,Catalunya,3
5,Central Valley,2
6,Colchagua Valley,2
7,Colonia,4
8,Extremadura_,3
9,Galicia,3
10,La Consulta,1
11,Limarê Valley,2
12,Lleida,3
13,Lujön de Cuyo,1
14,Lujön de Cuyo & Tupungato,1
15,Lujön de Cuyo & Valle de Uco,1
16,Maipo Valley,2
17,Maip“,1
18,Maip“ & Valle de Uco,1
19,Maldonado ,4
20,Malleco Valley,2
21,Mallorca,3
22,Maule Valley,2
23,Medrano,1
24,Mendoza,1
25,Montevideo,4
26,Montevideo & Canelones,4
27,Montsant,3
28,na,6
29,Navarra,3
30,Penedès,3
31,Priorat,3
32,Punta del Este ,4
33,Rapel Valley,2
34,Rias Baixas,3
35,Ribera Del Arlanza,3
36,Ribera Del Duero,3
37,Rioja,3
38,Rioja Alavesa,3
39,Rioja Alta,3
40,Rioja Baja,3
41,Rivera,4
42,Rivera & Canelones,4
43,Rueda,3
44,Salta,1
45,San Antonio Valley,2
46,San Jos_,4
47,Santa Rosa,1
48,Tarragona,3
49,Terra Alta,3
50,Valle de Famatina,1
51,Valle de Uco,1
52,Vista Flores,1
53,Yecla,3
