id,name_no_ws,name_no_winery,name_no_vintage,name_no_winery_no_vintage,portfolio_name,current,display,retail_ws,producer_id,producer_country_id,producer_region_id,product_type_id,product_sub_type_id,blend_type,vintage,order_1,order_2,combined_order,portfolio_region,case_size,price_id,product_size_id,warehouse_id,product_package_type_id,organic_cert,organic_pract,organic_min,vegan,vegetarian,bio_cert,bio_pract,filtration,fining,so2,product_no_vintage_id
29,Caelum Cabernet Sauvignon 2009,Cabernet Sauvignon 2009,Caelum Cabernet Sauvignon,Cabernet Sauvignon,2009 Cabernet Sauvignon,1,0,R,10,1,11,4,4,0,2009,1,4,1.4,"ARG, Luján de Cuyo",6,pID-A012,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,119
30,Caelum Chardonnay 2010,Chardonnay 2010,Caelum Chardonnay,Chardonnay,2010 Chardonnay,0,0,R,10,1,49,2,9,0,2010,1,2,1.2,"ARG, Valle de Uco",6,pID-A014,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,120
31,Caelum Malbec 2009,Malbec 2009,Caelum Malbec,Malbec,2009 Malbec,0,0,R,10,1,11,4,18,0,2009,1,4,1.4,"ARG, Luján de Cuyo",6,pID-A018,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,121
32,Caelum Malbec Cabernet Sauvignon Rosado 2010,Malbec Cabernet Sauvignon Rosado 2010,Caelum Malbec Cabernet Sauvignon Rosado,Malbec Cabernet Sauvignon Rosado,2010 Malbec Cabernet Sauvignon Rosado,0,0,R,10,1,11,3,35,0,2010,1,3,1.3,"ARG, Luján de Cuyo",6,pID-A021,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,122
33,Caelum Reserva Malbec 2009,Reserva Malbec 2009,Caelum Reserva Malbec,Reserva Malbec,2009 Reserva Malbec,0,0,R,10,1,11,4,18,0,2009,3,4,3.4,"ARG, Luján de Cuyo",6,pID-A020,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,127
34,Caelum Reserva Chardonnay 2009,Reserva Chardonnay 2009,Caelum Reserva Chardonnay,Reserva Chardonnay,2009 Reserva Chardonnay,1,0,R,10,1,49,2,9,0,2009,3,2,3.2,"ARG, Valle de Uco",6,pID-A017,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,125
35,Caelum Reserva Cabernet Sauvignon 2009,Reserva Cabernet Sauvignon 2009,Caelum Reserva Cabernet Sauvignon,Reserva Cabernet Sauvignon,2009 Reserva Cabernet Sauvignon,1,0,R,10,1,11,4,4,0,2009,3,4,3.4,"ARG, Luján de Cuyo",6,pID-A013,4,2,1,Unknown,Yes,Yes,No,Yes,No,No,0,0,0,124
36,Enrique Foster Edicion Limitada Malbec 2006,Edicion Limitada Malbec 2006,Enrique Foster Edicion Limitada Malbec,Edicion Limitada Malbec,2006 Edicion Limitada Malbec,0,0,R,23,1,11,4,18,0,2006,5,4,5.4,"ARG, Luján de Cuyo",6,pID-A036,4,2,1,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,308
37,Enrique Foster Firmado Malbec 2007,Firmado Malbec 2007,Enrique Foster Firmado Malbec,Firmado Malbec,2007 Firmado Malbec,0,0,R,23,1,11,4,18,0,2007,6,4,6.4,"ARG, Luján de Cuyo",6,pID-A038,4,2,2,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,309
38,Enrique Foster IQUE Malbec 2010,IQUE Malbec 2010,Enrique Foster IQUE Malbec,IQUE Malbec,2010 IQUE Malbec,0,0,R,23,1,11,4,18,0,2010,1,4,1.4,"ARG, Luján de Cuyo",6,pID-A042,4,2,1,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,311
39,Enrique Foster IQUE Malbec (375ml) 2010,IQUE Malbec (375ml) 2010,Enrique Foster IQUE Malbec (375ml),IQUE Malbec,2010 IQUE Malbec,0,0,R,23,1,11,4,18,0,2010,1,4,1.4,"ARG, Luján de Cuyo",12,pID-A043,2,2,1,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,312
40,Enrique Foster Sparkling Blanc de Noir Malbec NV,Sparkling Blanc de Noir Malbec NV,Enrique Foster Sparkling Blanc de Noir Malbec,Sparkling Blanc de Noir Malbec,NV Sparkling Blanc de Noir Malbec,0,0,R,23,1,11,1,41,0,NV,1,1,1.1,"ARG, Luján de Cuyo",6,pID-A046,4,2,1,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,316
41,Enrique Foster PINK Malbec Rosé 2010,PINK Malbec Rosé 2010,Enrique Foster PINK Malbec Rosé,PINK Malbec Rosé,2010 PINK Malbec Rosé,0,0,R,23,1,11,3,35,0,2010,1,3,1.3,"ARG, Luján de Cuyo",6,pID-A040,4,2,1,No,No,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,313
