id,name,product_type_id
1,Albariño,2
2,Bonarda,4
3,Cabernet Franc,4
4,Cabernet Sauvignon,4
5,Cabernet Syrah Rosé,3
6,Callet,4
7,Carménère,4
8,Cava,1
9,Chardonnay,2
10,Fiano,2
11,Frisant,1
12,Garnacha,4
13,Garnacha Blanc,2
14,Gewürztraminer,2
15,Godello,2
16,Graciano,4
17,Macizo,4
18,Malbec,4
19,Maturana Tinta,4
20,Mazuelo,4
21,Mencía,4
22,Merlot,4
23,Monastrell,4
24,Moscatel,5
25,Moscatel de Alejandría,2
26,Moscato,5
27,Muscat De Frontignac,2
28,Nebbiolo,4
29,Petit Manseng,2
30,Petit Verdot,4
31,Pinot Noir,4
32,Premsal,2
33,Red Blend,4
34,Riesling,2
35,Rosé,3
36,Rosé Blend,3
37,Sangría,4
38,Sauvignon Blanc,2
39,Sauvignon Gris,2
40,Semillon,2
41,Sparkling,1
42,Syrah,4
43,Tannat,4
44,Tannat ,4
45,Tempranillo,4
46,Tempranillo Blanco,2
47,Tempranillo Garnacha,4
48,Torrontés,2
49,Verdejo,2
50,Vermouth,4
51,Viognier,2
52,White Blend,2
53,Xarel.lo,2
54,Zinfandel,4
